Entry,RecordType,Data,TimeToLive
api.onedrive.com,5,odc-commonafdrk-geo.onedrive.akadns.net,7
api.onedrive.com,5,odc-commonafdrk-brs.onedrive.akadns.net,7
api.onedrive.com,5,ln-0001.ln-dc-msedge.net.ln-0001.ln-msedge.net,7
api.onedrive.com,5,ln-0001.ln-msedge.net,7
api.onedrive.com,1,150.171.22.11,7
api.platform.comptia.org,1,172.64.150.55,9
api.platform.comptia.org,1,104.18.37.201,9
api.producthunt.com,1,104.18.127.118,110
api.producthunt.com,1,104.18.126.118,110
api.simplesvg.com,1,104.21.36.46,111
api.simplesvg.com,1,172.67.185.51,111
api.unisvg.com,1,104.21.34.186,110
api.unisvg.com,1,172.67.163.187,110
api.zaius.com,1,100.30.9.29,45
api.zaius.com,1,98.88.118.61,45
api.zaius.com,1,52.4.115.141,45
apis.google.com,5,plus.l.google.com,8
apis.google.com,1,142.250.204.46,95
apis.google.com,1,142.250.198.78,78
apis.google.com,1,142.250.196.206,25
apis.google.com,1,142.251.170.101,17
apis.google.com,1,142.251.170.138,17
apis.google.com,1,142.251.170.102,17
apis.google.com,1,142.251.170.139,17
apis.google.com,1,142.251.170.100,17
apis.google.com,1,142.251.170.113,17
apis.google.com,1,74.125.203.102,130
apis.google.com,1,74.125.203.100,130
apis.google.com,1,74.125.203.113,130
apis.google.com,1,74.125.203.138,130
apis.google.com,1,74.125.203.101,130
apis.google.com,1,74.125.203.139,130
apis.google.com,1,74.125.24.113,8
apis.google.com,1,74.125.24.138,8
apis.google.com,1,74.125.24.100,8
apis.google.com,1,74.125.24.101,8
apis.google.com,1,74.125.24.139,8
apis.google.com,1,74.125.24.102,8
app.hubspot.com,1,104.17.92.187,94
app.hubspot.com,1,104.17.91.187,94
app.launchdarkly.com,5,m.sni.global.fastly.net,46
app.launchdarkly.com,1,151.101.65.55,46
app.launchdarkly.com,1,151.101.193.55,46
app.launchdarkly.com,1,151.101.1.55,46
app.launchdarkly.com,1,151.101.129.55,46
apps-id.cisco.com,5,apps-id.cisco.com.edgekey.net,16
apps-id.cisco.com,5,e68528.dsca.akamaiedge.net,16
apps-id.cisco.com,1,210.71.227.218,16
apps-id.cisco.com,1,210.71.227.203,16
apps.bazaarvoice.com,1,3.169.137.75,11
apps.bazaarvoice.com,1,3.169.137.74,11
apps.bazaarvoice.com,1,3.169.137.129,11
apps.bazaarvoice.com,1,3.169.137.107,11
appsgenaiserver-pa.clients6.google.com,1,74.125.23.95,9
appsgrowthpromo-pa.clients6.google.com,1,142.250.196.202,172
appsgrowthpromo-pa.clients6.google.com,1,142.250.204.42,128
appsgrowthpromo-pa.clients6.google.com,1,142.250.157.95,162
appsgrowthpromo-pa.clients6.google.com,1,142.250.198.74,19
appsgrowthpromo-pa.clients6.google.com,1,74.125.200.95,83
arc.msn.com,5,arc.trafficmanager.net,5
arc.msn.com,5,iris-de-prod-azsc-v2-jpw-b.japanwest.cloudapp.azure.com,5
arc.msn.com,1,40.74.79.222,5
aspen-dev1.eccouncil.org,1,104.18.9.180,152
aspen-dev1.eccouncil.org,1,104.18.8.180,152
aspen.eccouncil.org,1,104.18.8.180,151
aspen.eccouncil.org,1,104.18.9.180,151
assets.customer.io,5,d1aadi0iayibtc.cloudfront.net,50
assets.customer.io,1,13.35.37.89,50
assets.customer.io,1,13.35.37.37,50
assets.customer.io,1,13.35.37.82,50
assets.customer.io,1,13.35.37.88,50
assets.msn.cn,5,assets-msn-cn-world-atm-default.trafficmanager.net,40
assets.msn.cn,5,assets.msn.cn.eo.dnse4.com,40
assets.msn.cn,1,175.97.131.54,40
assets.msn.com,,210.71.227.153,9
assets.msn.com,,210.71.227.155,10
assets.msn.com,,210.71.227.160,9
assets.msn.com,5,assets-msn-com-world-atm-default.trafficmanager.net,5
assets.msn.com,,210.71.227.122,9
assets.msn.com,,210.71.227.178,9
assets.msn.com,5,a1666.dscr.akamai.net,5
assets.msn.com,,210.71.227.96,10
assets.msn.com,,210.71.227.120,9
assets.msn.com,5,assets.msn.com-ion.edgesuite.net,5
assets.msn.com,,210.71.227.113,10
assets.msn.com,,210.71.227.99,10
assets.msn.com,,210.71.227.138,9
assets.msn.com,,210.71.227.139,9
assets.msn.com,,210.71.227.98,9
assets.msn.com,,210.71.227.184,9
assets.msn.com,,210.71.227.104,10
assets.msn.com,,210.71.227.176,10
assets.msn.com,,210.71.227.185,10
assets.msn.com,1,203.69.138.230,6
assets.msn.com,1,203.69.138.224,6
assets.msn.com,1,203.69.81.56,5
assets.msn.com,1,203.69.81.40,5
assets.tryhackme.com,5,ds7cdvzfs022j.cloudfront.net,51
assets.tryhackme.com,1,65.8.76.111,51
assets.tryhackme.com,1,65.8.76.46,51
assets.tryhackme.com,1,65.8.76.26,51
assets.tryhackme.com,1,65.8.76.87,51
assets2.msn.com,5,assets2-msn-com-world-atm-default.trafficmanager.net,7
assets2.msn.com,5,assets2.msn.com-ion.edgesuite.net,7
assets2.msn.com,5,a1686.dscr.akamai.net,7
assets2.msn.com,1,203.69.138.230,10
assets2.msn.com,1,184.87.193.88,7
assets2.msn.com,1,184.87.193.70,7
auth.openai.com,5,auth.openai.com.cdn.cloudflare.net,106
auth.openai.com,1,172.64.146.15,106
auth.openai.com,1,104.18.41.241,106
avatar.canva.com,5,avatar.canva.com.cdn.cloudflare.net,28
avatar.canva.com,1,104.16.102.112,28
avatar.canva.com,1,104.16.103.112,28
avatar.iran.liara.run,5,to.liara.zone,157
avatar.iran.liara.run,1,185.208.182.249,157
avatar.iran.liara.run,1,185.208.182.248,157
avatar.iran.liara.run,1,185.208.182.250,157
avatar.vercel.sh,1,66.33.60.194,60
avatar.vercel.sh,1,76.76.21.98,60
avatar.vercel.sh,1,76.76.21.61,143
avatar.vercel.sh,1,66.33.60.193,143
avatars.githubusercontent.com,1,185.199.108.133,1615
avatars.githubusercontent.com,1,185.199.111.133,1615
avatars.githubusercontent.com,1,185.199.110.133,1615
avatars.githubusercontent.com,1,185.199.109.133,1615
b1t-sindc1.outbrain.com,,23.108.101.162,17
b1t-sindc1.outbrain.com,,b1-sindc1.zemanta.com,218
b1t-sindc1.outbrain.com,,23.108.101.163,218
b1t-sindc1.outbrain.com,,23.108.101.160,218
b1t-sindc1.outbrain.com,,23.108.101.161,17
bam.nr-data.net,5,bam.cell.nr-data.net,77
bam.nr-data.net,5,fastly-tls12-bam.nr-data.net,77
bam.nr-data.net,1,162.247.243.29,77
bam.nr-data.net,5,bam.nr-data.net.cdn.cloudflare.net,22
bam.nr-data.net,1,162.247.241.14,22
bat.bing.com,5,bat-bing-com.ax-0001.ax-msedge.net,5
bat.bing.com,5,ax-0001.ax-msedge.net,5
bat.bing.com,1,150.171.27.10,5
bat.bing.com,1,150.171.28.10,5
bookshelf.vitalsource.com,1,104.19.189.84,25
bookshelf.vitalsource.com,1,104.19.190.84,25
brandfetch.com,1,172.67.71.146,143
brandfetch.com,1,104.26.0.96,143
brandfetch.com,1,104.26.1.96,143
browser.events.data.microsoft.com,5,browser.events.data.trafficmanager.net,4
browser.events.data.microsoft.com,5,onedscolprdweu00.westeurope.cloudapp.azure.com,2
browser.events.data.microsoft.com,1,13.69.109.130,2
browser.events.data.microsoft.com,5,onedscolprdwus19.westus.cloudapp.azure.com,3
browser.events.data.microsoft.com,1,20.189.173.26,3
browser.events.data.microsoft.com,5,onedscolprdeus12.eastus.cloudapp.azure.com,2
browser.events.data.microsoft.com,1,20.42.73.27,2
browser.events.data.microsoft.com,5,onedscolprdcus02.centralus.cloudapp.azure.com,4
browser.events.data.microsoft.com,1,20.44.10.122,4
browser.events.data.msn.com,,40.79.197.34,4
browser.events.data.msn.com,,20.42.65.84,1
browser.events.data.msn.com,5,global.asimov.events.data.trafficmanager.net,2
browser.events.data.msn.com,,onedscolprdeus00.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,onedscolprdjpe01.japaneast.cloudapp.azure.com,4
browser.events.data.msn.com,,onedscolprdeus02.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,20.42.72.131,1
browser.events.data.msn.com,5,onedscolprdgwc00.germanywestcentral.cloudapp.azure.com,2
browser.events.data.msn.com,1,51.116.246.104,2
browser.pipe.aria.microsoft.com,5,browser.events.data.trafficmanager.net,1
browser.pipe.aria.microsoft.com,5,onedscolprdweu00.westeurope.cloudapp.azure.com,2
browser.pipe.aria.microsoft.com,1,13.69.109.130,2
browser.pipe.aria.microsoft.com,5,onedscolprdcus11.centralus.cloudapp.azure.com,6
browser.pipe.aria.microsoft.com,1,104.208.16.89,6
browser.pipe.aria.microsoft.com,5,onedscolprdneu00.northeurope.cloudapp.azure.com,2
browser.pipe.aria.microsoft.com,1,13.69.239.72,2
browser.pipe.aria.microsoft.com,5,onedscolprdwus04.westus.cloudapp.azure.com,1
browser.pipe.aria.microsoft.com,1,20.189.173.5,1
c.bing.com,1,150.171.28.10,1
c.bing.com,5,ax-0001.ax-msedge.net,1
c.bing.com,5,c-bing-com.ax-0001.ax-msedge.net,1
c.bing.com,1,150.171.27.10,1
c.live.com,5,c.msn.com,2
c.live.com,5,c-msn-afd.trafficmanager.net,2
c.live.com,5,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,2
c.live.com,5,mr-b01.tm-azurefd.net,2
c.live.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,2
c.live.com,5,part-0045.t-0009.t-msedge.net,2
c.live.com,1,13.107.246.73,2
c.live.com,1,13.107.213.73,2
c.msn.com,5,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,13
c.msn.com,1,13.107.213.73,13
c.msn.com,5,part-0045.t-0009.t-msedge.net,13
c.msn.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,13
c.msn.com,1,13.107.246.73,13
c.msn.com,5,c-msn-afd.trafficmanager.net,13
c.msn.com,5,mr-b01.tm-azurefd.net,13
c.msn.com,5,shed.dual-low.part-0018.t-0009.t-msedge.net,22
c.msn.com,5,part-0018.t-0009.t-msedge.net,22
c.msn.com,1,13.107.246.46,22
c.msn.com,1,13.107.213.46,22
c1.microsoft.com,5,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,36
c1.microsoft.com,5,mr-b01.tm-azurefd.net,36
c1.microsoft.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,36
c1.microsoft.com,5,part-0045.t-0009.t-msedge.net,36
c1.microsoft.com,1,13.107.246.73,36
c1.microsoft.com,1,13.107.213.73,36
cacerts.digicert.com,5,crl.edge.digicert.com,14
cacerts.digicert.com,5,cac-ocsp.digicert.com.edgekey.net,14
cacerts.digicert.com,5,e3913.cd.akamaiedge.net,14
cacerts.digicert.com,1,118.214.255.18,14
caissuers.microsoft.com,5,pclmcdn.trafficmanager.net,10
caissuers.microsoft.com,5,crl.microsoft.com.edgesuite.net,10
caissuers.microsoft.com,5,a1363.dscg.akamai.net,10
caissuers.microsoft.com,1,210.71.227.170,10
caissuers.microsoft.com,1,210.71.227.179,10
campaigns.eccouncil.org,1,104.18.9.180,287
campaigns.eccouncil.org,1,104.18.8.180,287
canny.io,1,3.169.36.38,57
canny.io,1,3.169.36.39,57
canny.io,1,3.169.36.93,57
canny.io,1,3.169.36.12,57
capig.stape.ma,1,104.21.75.247,220
capig.stape.ma,1,172.67.184.14,220
capture.trackjs.com,1,15.235.54.6,3
capture.trackjs.com,1,15.235.54.7,3
capture.trackjs.com,1,15.235.42.36,3
cdn-cookieyes.com,1,104.18.19.62,13
cdn-cookieyes.com,1,104.18.18.62,13
cdn.104.com.tw,1,3.165.102.58,49
cdn.104.com.tw,1,3.165.102.109,49
cdn.104.com.tw,1,3.165.102.106,49
cdn.104.com.tw,1,3.165.102.10,49
cdn.auth0.com,5,dp0wn1kjwhg75.cloudfront.net,16
cdn.auth0.com,1,3.169.124.39,16
cdn.brandfetch.io,5,d2v97sykmw0drf.cloudfront.net,49
cdn.brandfetch.io,1,3.169.137.64,49
cdn.brandfetch.io,1,3.169.137.94,49
cdn.brandfetch.io,1,3.169.137.103,49
cdn.brandfetch.io,1,3.169.137.42,49
cdn.carbonads.com,,3.169.137.39,3
cdn.carbonads.com,,3.169.137.108,3
cdn.carbonads.com,,d2w5yq7htjp2h0.cloudfront.net,3
cdn.carbonads.com,,3.169.137.75,3
cdn.carbonads.com,,3.169.137.8,3
cdn.cookielaw.org,1,104.18.86.42,59
cdn.cookielaw.org,1,104.18.87.42,59
cdn.credly.com,5,d3bl822aepxqyh.cloudfront.net,34
cdn.credly.com,1,3.169.121.42,34
cdn.credly.com,1,3.169.121.39,34
cdn.credly.com,1,3.169.121.92,34
cdn.credly.com,1,3.169.121.34,34
cdn.discordapp.com,1,162.159.129.233,13
cdn.discordapp.com,1,162.159.134.233,13
cdn.discordapp.com,1,162.159.135.233,13
cdn.discordapp.com,1,162.159.133.233,13
cdn.discordapp.com,1,162.159.130.233,13
cdn.fuseplatform.net,5,cdn.fuseplatform.net.cdn.cloudflare.net,289
cdn.fuseplatform.net,1,104.18.13.225,289
cdn.fuseplatform.net,1,104.18.12.225,289
cdn.growthbook.io,5,n.sni.global.fastly.net,9
cdn.growthbook.io,1,151.101.193.91,9
cdn.growthbook.io,1,151.101.1.91,9
cdn.growthbook.io,1,151.101.65.91,9
cdn.growthbook.io,1,151.101.129.91,9
cdn.jsdelivr.net,5,cdn.jsdelivr.net.cdn.cloudflare.net,38
cdn.jsdelivr.net,1,104.16.174.226,38
cdn.jsdelivr.net,1,104.16.175.226,38
cdn.optimizely.com,1,104.18.65.57,51
cdn.optimizely.com,1,104.18.66.57,51
cdn.pdst.fm,1,35.244.142.80,273
cdn.pendo.io,1,34.36.213.229,27
cdn.perfdrive.com,1,130.211.29.114,60
cdn.sapphire.microsoftapp.net,5,superapp-hfdac9esd7hmb2c8.b02.azurefd.net,27
cdn.sapphire.microsoftapp.net,5,mr-b02.tm-azurefd.net,27
cdn.sapphire.microsoftapp.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,27
cdn.sapphire.microsoftapp.net,5,part-0045.t-0009.t-msedge.net,27
cdn.sapphire.microsoftapp.net,1,13.107.213.73,27
cdn.sapphire.microsoftapp.net,1,13.107.246.73,27
cdn.scarabresearch.com,1,3.170.229.44,50
cdn.scarabresearch.com,1,3.170.229.127,50
cdn.scarabresearch.com,1,3.170.229.79,50
cdn.scarabresearch.com,1,3.170.229.69,50
cdn.segment.com,5,d296je7bbdd650.cloudfront.net,42
cdn.segment.com,1,13.33.45.217,42
cdn.tailwindcss.com,1,104.26.3.143,90
cdn.tailwindcss.com,1,104.26.2.143,90
cdn.tailwindcss.com,1,172.67.68.11,90
cdn.testout.com,1,172.64.150.178,11
cdn.testout.com,1,104.18.37.78,11
cdn.wootric.com,1,34.96.110.71,38
cdnjs.cloudflare.com,1,104.17.25.14,8
cdnjs.cloudflare.com,1,104.17.24.14,8
cert.eccouncil.org,1,104.18.8.180,17
cert.eccouncil.org,1,104.18.9.180,17
certget.com,1,138.201.165.86,9952
certify.cybervista.net,5,441bvqm5jpqy.wpeproxy.com,124
certify.cybervista.net,1,141.193.213.20,124
certify.cybervista.net,1,141.193.213.21,124
certslearning.com,1,45.113.122.212,10028
challenges.cloudflare.com,1,104.18.95.41,125
challenges.cloudflare.com,1,104.18.94.41,125
chameleon.vitalsource.com,1,104.19.190.84,26
chameleon.vitalsource.com,1,104.19.189.84,26
chatgpt.com,1,172.64.155.209,174
chatgpt.com,1,104.18.32.47,174
chatgpt.com,28,2a06:98c1:3100::6812:202f,159
chatgpt.com,28,2a06:98c1:310b::ac40:9bd1,159
chrome.cloudflare-dns.com,1,172.64.41.3,32
chrome.cloudflare-dns.com,1,162.159.61.3,32
