"Entry","RecordType","Data","TimeToLive"
"www.abuseipdb.com",,"104.26.12.38","151"
"www.abuseipdb.com",,"104.26.13.38","151"
"www.abuseipdb.com",,"172.67.70.74","151"
"pypi.org",,"151.101.128.223","15616"
"pypi.org",,"151.101.64.223","15616"
"pypi.org",,"151.101.192.223","15616"
"pypi.org",,"151.101.0.223","15616"
"tas02.sls.update.microsoft.com",,"glb.tas02.sls-prod.dcat.dsp.mp.microsoft.com","100"
"tas02.sls.update.microsoft.com",,"glb.sls.prod.dcat.dsp.trafficmanager.net","100"
"tas02.sls.update.microsoft.com",,"20.165.94.63","100"
"ctldl.windowsupdate.com",,"ctldl.windowsupdate.com.delivery.microsoft.com","6"
"ctldl.windowsupdate.com",,"wu-b-net.trafficmanager.net","6"
"ctldl.windowsupdate.com",,"download.windowsupdate.com.edgesuite.net","6"
"ctldl.windowsupdate.com",,"a767.dspw65.akamai.net","6"
"ctldl.windowsupdate.com",,"203.74.95.218","6"
"ctldl.windowsupdate.com",,"203.74.95.243","6"
