Entry,RecordType,Data,TimeToLive
b1t-sindc1.outbrain.com,,b1-sindc1.zemanta.com,218
browser.events.data.msn.com,,global.asimov.events.data.trafficmanager.net,4
browser.events.data.msn.com,,40.79.197.34,4
browser.events.data.msn.com,,onedscolprdjpe01.japaneast.cloudapp.azure.com,4
browser.events.data.msn.com,,onedscolprdeus02.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,20.42.72.131,1
browser.events.data.msn.com,,onedscolprdeus00.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,20.42.65.84,1
browser.events.data.msn.com,,global.asimov.events.data.trafficmanager.net,1
c.bing.com,,c-bing-com.ax-0001.ax-msedge.net,44
c.bing.com,,ax-0001.ax-msedge.net,44
c.bing.com,,c-bing-com.ax-0001.ax-msedge.net,5
c.bing.com,,150.171.27.10,44
c.bing.com,,ax-0001.ax-msedge.net,5
c.bing.com,,150.171.28.10,44
c.bing.com,,150.171.27.10,5
c.bing.com,,150.171.28.10,5
c.msn.com,,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,49
c.msn.com,,c-msn-afd.trafficmanager.net,49
c.msn.com,,13.107.213.73,49
c.msn.com,,mr-b01.tm-azurefd.net,14
c.msn.com,,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,14
c.msn.com,,c-msn-afd.trafficmanager.net,14
c.msn.com,,13.107.213.73,14
c.msn.com,,13.107.246.73,49
c.msn.com,,shed.dual-low.part-0045.t-0009.t-msedge.net,49
c.msn.com,,13.107.246.73,14
c.msn.com,,part-0045.t-0009.t-msedge.net,49
c.msn.com,,shed.dual-low.part-0045.t-0009.t-msedge.net,14
c.msn.com,,part-0045.t-0009.t-msedge.net,14
c.msn.com,,mr-b01.tm-azurefd.net,49
cdn.carbonads.com,,3.169.137.39,3
cdn.carbonads.com,,3.169.137.8,3
cdn.carbonads.com,,3.169.137.108,3
cdn.carbonads.com,,3.169.137.75,3
cdn.carbonads.com,,d2w5yq7htjp2h0.cloudfront.net,3
challenges.cloudflare.com,,104.18.95.41,101
challenges.cloudflare.com,,104.18.95.41,87
challenges.cloudflare.com,,104.18.94.41,101
challenges.cloudflare.com,,104.18.94.41,87
chatgpt.com,,172.64.155.209,94
chatgpt.com,,104.18.32.47,94
chrome.cloudflare-dns.com,,172.64.41.3,2
chrome.cloudflare-dns.com,,162.159.61.3,105
chrome.cloudflare-dns.com,,172.64.41.3,172
chrome.cloudflare-dns.com,,162.159.61.3,61
chrome.cloudflare-dns.com,,172.64.41.3,95
chrome.cloudflare-dns.com,,172.64.41.3,105
chrome.cloudflare-dns.com,,162.159.61.3,75
chrome.cloudflare-dns.com,,172.64.41.3,61
chrome.cloudflare-dns.com,,162.159.61.3,2
chrome.cloudflare-dns.com,,162.159.61.3,95
chrome.cloudflare-dns.com,,162.159.61.3,172
chrome.cloudflare-dns.com,,172.64.41.3,75
clients1.google.com,,142.250.66.78,122
clients1.google.com,,clients.l.google.com,122
clients2.google.com,,clients.l.google.com,82
clients2.google.com,,142.250.204.46,114
clients2.google.com,,clients.l.google.com,6
clients2.google.com,,142.250.198.78,6
clients2.google.com,,clients.l.google.com,196
clients2.google.com,,clients.l.google.com,137
clients2.google.com,,142.250.198.78,82
clients2.google.com,,142.250.204.46,196
clients2.google.com,,142.250.204.46,137
clients2.google.com,,clients.l.google.com,114
config.edge.skype.com,,150.171.22.17,36
config.edge.skype.com,,ln-0007.config.skype.com,36
