"Entry","RecordType","Data","TimeToLive"
"www.abuseipdb.com",,"172.67.70.74","103"
"www.abuseipdb.com",,"104.26.13.38","103"
"www.abuseipdb.com",,"104.26.12.38","103"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"star.b.tlu.dl.delivery.mp.microsoft.com.delivery.microsoft.com","26"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"cdp-f-tlu-net.trafficmanager.net","26"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"fg.microsoft.map.fastly.net","26"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"199.232.210.172","26"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"199.232.214.172","26"
"challenges.cloudflare.com",,"104.18.94.41","87"
"challenges.cloudflare.com",,"104.18.95.41","87"
"pypi.org",,"151.101.128.223","16289"
"pypi.org",,"151.101.64.223","16289"
"pypi.org",,"151.101.192.223","16289"
"pypi.org",,"151.101.0.223","16289"
"tas02.sls.update.microsoft.com",,"glb.tas02.sls-prod.dcat.dsp.mp.microsoft.com","36"
"tas02.sls.update.microsoft.com",,"glb.sls.prod.dcat.dsp.trafficmanager.net","36"
"tas02.sls.update.microsoft.com",,"74.179.77.204","36"
