Entry,RecordType,Data,SourceFolders
accounts.youtube.com,5,www3.l.google.com,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25
acctcdn.msauth.net,1,13.107.246.73,rotation-2026-02-25
acctcdn.msauth.net,5,acctcdnmsftuswe2.afd.azureedge.net,rotation-2026-02-25
acctcdn.msauth.net,5,acctcdnmsftuswe2.azureedge.net,rotation-2026-02-25
acctcdn.msauth.net,5,firstparty-azurefd-prod.trafficmanager.net,rotation-2026-02-25
acctcdn.msauth.net,5,s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
acctcdn.msauth.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
acctcdn.msftauth.net,1,23.46.63.171,rotation-2026-02-25
acctcdn.msftauth.net,1,23.46.63.200,rotation-2026-02-25
acctcdn.msftauth.net,5,acctcdn.msftauth.edgekey.net,rotation-2026-02-25
acctcdn.msftauth.net,5,e329293.dscd.akamaiedge.net,rotation-2026-02-25
acctcdn.msftauth.net,5,www.tm.acctcdn.msftauth.akadns.net,rotation-2026-02-25
acctcdnmsftuswe2.azureedge.net,1,13.107.246.73,rotation-2026-02-25
acctcdnmsftuswe2.azureedge.net,5,acctcdnmsftuswe2.afd.azureedge.net,rotation-2026-02-25
acctcdnmsftuswe2.azureedge.net,5,firstparty-azurefd-prod.trafficmanager.net,rotation-2026-02-25
acctcdnmsftuswe2.azureedge.net,5,s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
acctcdnmsftuswe2.azureedge.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
activation-v2.sls.microsoft.com,,48.192.1.64,rotation-0; rotation-1
activation-v2.sls.microsoft.com,,activation-v2.sls.trafficmanager.net,rotation-0; rotation-1
activation-v2.sls.microsoft.com,1,48.192.1.64,rotation-2026-02-22-chrome; rotation-2026-02-25
activation-v2.sls.microsoft.com,5,activation-v2.sls.trafficmanager.net,rotation-2026-02-22-chrome; rotation-2026-02-25
adage.lib.nthu.edu.tw,1,140.114.72.13,rotation-2026-02-25
addons-pa.clients6.google.com,1,142.250.196.202,rotation-1; rotation-2026-02-13; rotation-2026-02-25
addons-pa.clients6.google.com,1,142.250.204.42,rotation-1; rotation-2026-02-13; rotation-2026-02-25
addons-pa.clients6.google.com,1,142.251.12.95,rotation-2026-02-13
admin.microsoft.com,1,150.171.73.13,rotation-1; rotation-2026-02-25
admin.microsoft.com,1,150.171.74.13,rotation-1; rotation-2026-02-25
admin.microsoft.com,5,admin-portal.office.com,rotation-1; rotation-2026-02-25
admin.microsoft.com,5,bx-0004.bx-msedge.net,rotation-1; rotation-2026-02-25
admin.microsoft.com,5,m365adminportal-prod-defaultgeo.trafficmanager.net,rotation-1; rotation-2026-02-25
adservice.google.com,,142.250.204.34,rotation-0; rotation-1
aidma.adsmart.104.com.tw,1,13.192.201.0,rotation-2026-02-25
aidma.adsmart.104.com.tw,1,18.181.26.20,rotation-2026-02-25
ajax.googleapis.com,1,142.250.198.74,rotation-2026-02-25
ajax.googleapis.com,1,142.250.204.42,rotation-2026-02-25
ajax.googleapis.com,1,64.233.170.95,rotation-2026-02-13
