Reason, Domain
manual-filter,a.nel.cloudflare.com
manual-filter,activation-v2.sls.microsoft.com
demo,addons-pa.clients6.google.com
demo,analytics.google.com
demo,assets.msn.com
demo,bat.bing.com
demo,browser.events.data.msn.com
demo,c.msn.com
manual-filter,chrome.cloudflare-dns.com
manual-filter,clientservices.googleapis.com
demo,clientstream.launchdarkly.com
manual-filter,content-autofill.googleapis.com
manual-filter,content.googleapis.com
demo,ctldl.windowsupdate.com
manual-filter,default.exp-tas.com
manual-filter,download.sysinternals.com
manual-filter,drive.google.com
demo,ecn.dev.virtualearth.net
demo,edge.microsoft.com
reported-c2,edgedl.me.gvt1.com
demo,fonts.googleapis.com
manual-filter,fonts.gstatic.com
manual-filter,g.tenor.com
manual-filter,googleads.g.doubleclick.net
demo,img-s-msn-com.akamaized.net
demo,img-s.msn.cn
manual-filter,job-notify.104.com.tw
manual-filter,keep-pa.clients6.google.com
manual-filter,lh3.google.com
manual-filter,lh3.googleusercontent.com
manual-filter,login.live.com
demo,main.vscode-cdn.net
demo,mobile.events.data.microsoft.com
manual-filter,mtalk.google.com
demo,ntp.msn.com
manual-filter,oauthaccountmanager.googleapis.com
manual-filter,ogads-pa.clients6.google.com
manual-filter,ogs.google.com
manual-filter,optimizationguide-pa.googleapis.com
manual-filter,peoplestack-pa.clients6.google.com
manual-filter,play.google.com
demo,px.ads.linkedin.com
demo,r.bing.com
manual-filter,redirector.gvt1.com
manual-filter,safebrowsing.google.com
demo,sb.scorecardresearch.com
manual-filter,signaler-pa.clients6.google.com
manual-filter,ssl.gstatic.com
manual-filter,storage.googleapis.com
manual-filter,taskassist-pa.clients6.google.com
demo,th.bing.com
demo,turing-writingassistance.edge.microsoft.com
manual-filter,update.code.visualstudio.com
manual-filter,uts-front.line-apps.com
manual-filter,waa-pa.clients6.google.com
manual-filter,waa-pa.googleapis.com
demo,watson.events.data.microsoft.com
manual-filter,webchannel-content.eservice.emarsys.net
demo,windows.msn.com
demo,www.google-analytics.com
manual-filter,www.googletagmanager.com
manual-filter,www.msftncsi.com
manual-filter,android.clients.google.com
manual-filter,fs.microsoft.com
manual-filter,geo.prod.do.dsp.mp.microsoft.com
