Entry,RecordType,Data,TimeToLive
encrypted-tbn2.gstatic.com,1,142.250.198.78,78
encrypted-tbn3.gstatic.com,1,142.250.198.78,207
fonts.gstatic.com,1,142.250.196.195,271
fonts.gstatic.com,1,142.250.198.67,201
fonts.gstatic.com,1,142.250.204.35,58
fs.microsoft.com,5,prod.fs.microsoft.com.akadns.net,8
fs.microsoft.com,5,fs-wildcard.microsoft.com.edgekey.net,8
fs.microsoft.com,5,fs-wildcard.microsoft.com.edgekey.net.globalredir.akadns.net,8
fs.microsoft.com,5,e16604.dscf.akamaiedge.net,8
fs.microsoft.com,1,118.214.252.115,8
g.live.com,5,g.msn.com,10
g.live.com,5,g-msn-afd.trafficmanager.net,10
g.live.com,5,adsuetprod-ckdecufth8fcedex.b01.azurefd.net,10
g.live.com,5,mr-b01.tm-azurefd.net,10
g.live.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,10
g.live.com,5,part-0045.t-0009.t-msedge.net,10
g.live.com,1,13.107.246.73,10
g.live.com,1,13.107.213.73,10
gemini.google.com,1,142.250.196.206,238
gemini.google.com,1,142.250.198.78,33
gemini.google.com,1,142.250.204.46,45
github.com,1,20.27.177.113,28
github.githubassets.com,1,185.199.108.154,2622
github.githubassets.com,1,185.199.111.154,2622
github.githubassets.com,1,185.199.110.154,2622
github.githubassets.com,1,185.199.109.154,2622
googleads.g.doubleclick.net,1,142.250.196.194,38
googleads.g.doubleclick.net,1,142.250.198.66,68
i.ytimg.com,1,142.250.196.214,143
i.ytimg.com,1,142.250.198.86,143
i.ytimg.com,1,142.250.204.54,143
i.ytimg.com,1,142.250.77.22,143
img-s-msn-com.akamaized.net,5,a1834.dscg2.akamai.net,12
img-s-msn-com.akamaized.net,1,203.69.81.59,12
img-s-msn-com.akamaized.net,1,203.69.81.40,12
img-s.msn.cn,5,img-s-msn-cn-world-atm-default.trafficmanager.net,15
img-s.msn.cn,5,img-s.msn.cn.eo.dnse4.com,15
img-s.msn.cn,1,175.97.131.54,15
jigsaw.vitalsource.com,1,104.19.190.84,4
jigsaw.vitalsource.com,1,104.19.189.84,4
jnn-pa.googleapis.com,1,142.250.204.42,208
jnn-pa.googleapis.com,1,142.250.196.202,208
jnn-pa.googleapis.com,1,142.250.77.10,208
jnn-pa.googleapis.com,1,142.250.198.74,208
jnn-pa.googleapis.com,1,142.250.66.74,208
lh3.google.com,5,lh2.l.google.com,71
lh3.google.com,1,142.250.196.206,42
lh3.google.com,1,142.250.66.78,71
lh3.googleusercontent.com,5,googlehosted.l.googleusercontent.com,98
lh3.googleusercontent.com,1,142.250.198.65,98
lh3.googleusercontent.com,1,142.250.196.193,212
login.live.com,5,login.msa.msidentity.com,40
login.live.com,5,www.tm.lg.prod.aadmsa.trafficmanager.net,120
login.live.com,5,prdv4a.aadg.msidentity.com,40
login.live.com,5,www.tm.v4.a.prd.aadg.trafficmanager.net,120
login.live.com,1,20.190.141.37,120
login.live.com,1,20.190.141.35,120
login.live.com,1,20.190.141.39,120
login.live.com,1,40.126.13.8,36
login.live.com,1,20.190.141.38,120
login.live.com,1,20.190.141.32,120
login.live.com,1,40.126.13.9,120
login.live.com,1,20.190.141.33,120
login.live.com,5,www.tm.lg.prod.aadmsa.akadns.net,40
login.live.com,5,www.tm.v4.a.prd.aadg.akadns.net,40
login.live.com,1,20.190.141.34,120
login.live.com,1,20.190.141.36,13
login.live.com,5,www.a.lg.prod.aadmsa.akadns.net,40
login.live.com,1,40.126.38.21,40
login.live.com,1,40.126.38.19,40
login.live.com,1,20.190.166.133,40
login.live.com,1,40.126.38.22,40
login.live.com,1,20.190.166.68,40
login.live.com,1,40.126.38.20,23
login.live.com,1,20.190.166.132,23
login.live.com,1,20.190.166.131,40
login.live.com,1,20.190.166.66,40
login.live.com,1,20.190.166.67,40
login.live.com,5,default.a.lg.prod.aadmsa.akadns.net,40
mail.google.com,1,142.250.66.69,159
mail.google.com,1,142.250.204.37,30
mail.google.com,1,142.250.77.5,57
